movieid,title,director,genre,releaseyear,budget_(crores),boxoffice_(crores),rating,duration_(minutes),leadactor,leadactress,language,productioncompany
MOV008,Sarkar (Tamil),A. R. Murugadoss,Action Thriller,2005,25,47,7.5,173,Vijay,Keerthy Suresh,Tamil,Kalaignar TV
MOV010,2.0 (Tamil),S. Shankar,Science Fiction Action,2018,550,800,6.9,147,Rajinikanth,Amy Jackson,Tamil,Lyca Productions
MOV022,K.G.F: Chapter 1,Prashanth Neel,Action Drama,2018,50,250,7.9,156,Yash,Srinidhi Shetty,Kannada,Hombale Films
MOV024,Avengers: Endgame (Dubbed),"Anthony Russo, Joseph Russo",Superhero,2019,25,47,8.4,181,Robert Downey Jr.,Scarlett Johansson,"English (Dubbed in Telugu, Kannada, Hindi)",Marvel Studios
MOV026,Pailwaan,S. Krishna,Sports Action,2019,30,55,6.8,156,Sudeep,Aakanksha Singh,Kannada,RRR Motion Pictures
MOV028,Yajamana,"V. Harikrishna, P. Kumar",Action Drama,2019,20,40,6.3,164,Darshan,Rashmika Mandanna,Kannada,Media House Studio
MOV030,Gentleman,Jadesh Kumar,Action Thriller,2019,10,20,6.1,145,Puneeth Rajkumar,Nishvika Naidu,Kannada,Sri Jagadguru Movies
MOV031,Saaho,Sujeeth,Action Thriller,2019,300,450,7.1,170,Prabhas,Shraddha Kapoor,"Telugu (Dubbed in Hindi, Kannada)",UV Creations
MOV032,Kavaludaari,Hemanth M. Rao,Thriller,2019,5,10,7.4,118,Rishi,Anant Nag,Kannada,PNK Productions
MOV033,96 (Kannada Dubbed),C. Premkumar,Romantic Drama,2019,25,47,7.9,158,Vijay Sethupathi,Trisha,Kannada (Dubbed from Tamil),Madras Enterprises
MOV035,Dabangg 3 (Dubbed),Prabhu Deva,Action Comedy,2019,25,47,5.8,159,Salman Khan,Sonakshi Sinha,Telugu (Dubbed from Hindi),S. K. Film Enterprises
MOV037,Shylock (Kannada Dubbed),Ajai Vasudev,Action Thriller,2020,25,47,6.8,164,Mammootty,Rajkiran,Kannada (Dubbed from Malayalam),Vrindaavan Films
MOV038,Love Aaj Kal (Dubbed),Imtiaz Ali,Romantic Drama,2020,25,47,4.4,141,Kartik Aaryan,Sara Ali Khan,Telugu (Dubbed from Hindi),Reliance Entertainment
MOV039,Forensic (Kannada Dubbed),"Akhil Paul, Anas Khan",Thriller,2020,25,47,6.9,129,Tovino Thomas,Mamta Mohandas,Kannada (Dubbed from Malayalam),Evil Eye Pictures
MOV040,Trance (Kannada Dubbed),Anwar Rasheed,Psychological Thriller,2020,25,47,7.1,162,Fahadh Faasil,Nazriya Nazim,Kannada (Dubbed from Malayalam),Dulquer Salmaan Productions
MOV042,K.G.F: Chapter 1,Prashanth Neel,Action Drama,2018,50,250,7.9,156,Yash,Srinidhi Shetty,Kannada,Hombale Films
MOV046,Aruvi,Arun Prabu Purushothaman,Drama,2016,1,5,8.1,144,Aditi Balan,Lakshmi Gopalswamy,Tamil,Dream Warrior Pictures
MOV049,U Turn,Pawan Kumar,Thriller,2016,5,20,7.9,128,Shraddha Srinath,Dilip Raj,Kannada,PRK Productions
